"id","label","label_en","country_id","country_name","population","postal_code","coords"
"Q1134837","Μαλακάσα Αττικής","Malakasa","Q41","Greece","514","['190\xa011']","(38.23333333, 23.8)"
"Q1134852","Μαρκόπουλο","Markopoulo Mesogaias","Q41","Greece","9513","['19003']","(37.88333333, 23.93333333)"
"Q1136193","Γόρτυνα","Gortyn","Q41","Greece","","['70012']","(35.060067, 24.949458)"
"Q1142665","Δήμος Μουσούρων","Mousouroi","Q41","Greece","","['730\xa005']","(35.45, 23.91666667)"
"Q1142685","Δήμος Φαλάνθου","Municipality of Falanthos","Q41","Greece","","['22150']","(37.56666667, 22.25)"
"Q1144117","Δημοτική Ενότητα Παραλίας Αχαΐας","Paralia Municipal Unit","Q41","Greece","7666","['26333']","(38.18333333, 21.7)"
"Q1154480","Δήμος Φαρρών","Farres municipality","Q41","Greece","","['250\xa008']","(38.1, 21.78333333)"
"Q1154491","Δημοτική Ενότητα Ιθώμης Μεσσηνίας","Ithomi Municipal Unit","Q41","Greece","2302","['24002']","(37.15, 21.96666667)"
"Q1228514","Κάστρο Θάσου","Kastro","Q41","Greece","9","['640\xa002']","(40.67, 24.655)"
"Q1232203","Διακοπτό","Diakopto","Q41","Greece","2183","['250\xa003']","(38.19138889, 22.19805556)"
"Q1235010","Αλίαρτος","Aliartos","Q41","Greece","4402","['320\xa001']","(38.36666667, 23.1)"
"Q1238913","Δήμος Βουκολιών","Voukolies","Q41","Greece","","['730\xa002']","(35.46694444, 23.80055556)"
"Q1240074","Ιτέα Φωκίδας","Itea","Q41","Greece","4362","['332\xa000']","(38.4329, 22.4261)"
"Q1247264","Σταυρός Θεσσαλονίκης","Stavros","Q41","Greece","3672","['57014']","(40.664166666667, 23.696111111111)"
"Q1247513","Χολαργός","Cholargos","Q41","Greece","31304","['155 61, 155 62']","(38, 23.8)"
"Q1251598","Γερακινή Χαλκιδικής","Yerakini","Q41","Greece","","['631\xa000']","(40.2863, 23.43508)"
"Q1283835","Περιβόλια Αρκαδίας","Perivolia, Arcadia","Q41","Greece","59","['222\xa000']","(37.3875, 22.1575)"
"Q1462907","Δήμος Γουβών","Gouves Municipality","Q41","Greece","7761","['70014']","(35.32916667, 25.315)"
"Q1735552","Κατάκολο Ηλείας","Katakolo","Q41","Greece","509","['270\xa067']","(37.6518, 21.3162)"
"Q1736413","Νεάπολη Λασιθίου","Neapoli","Q41","Greece","2683","['72400']","(35.255966666666666, 25.60696111111111)"
"Q1750929","Ηλιοχώρι Ιωαννίνων","Iliochori","Q41","Greece","30","['440\xa010']","(39.98, 20.90833333)"
"Q1751647","Μυκήνες","Mykines","Q41","Greece","354","['212\xa000']","(37.71944444, 22.74444444)"
"Q1819480","Λεωνίδιο Αρκαδίας","Leonidio","Q41","Greece","3761","['223\xa000']","(37.1657243, 22.8544475)"
"Q1920433","Μενετές Καρπάθου","Menetes","Q41","Greece","416","['857\xa000']","(35.49052222, 27.16801944)"
"Q1925381","Μέθανα","Methana","Q41","Greece","892","['180\xa030']","(37.581, 23.3908)"
"Q1996519","Αγία Βαρβάρα Αττικής","Agia Varvara","Q41","Greece","26759","['123 xx']","(37.9915, 23.6596)"
"Q1996925","δημοτική ενότητα Πλαστήρα","Plastiras Municipal Unit","Q41","Greece","4199","['430\xa067']","(39.35, 21.75)"
"Q2001120","Δήμος Αιγιαλείας","Aigialeia Municipality","Q41","Greece","49703","['25x xx']","(38.153, 22.13914)"
"Q2007855","Χρυσούπολη Καβάλας","Chrysoupoli","Q41","Greece","8885","['64200']","(40.98333333, 24.7)"
"Q2009837","δημοτική ενότητα Ελλησπόντου","Ellispontos Municipal Unit","Q41","Greece","7102","['501\xa000']","(40.36666667, 21.95)"
"Q2010220","Οργάνη Ροδόπης","Organi","Q41","Greece","496","['695\xa000']","(41.25, 25.68333333)"
"Q2014045","δημοτική ενότητα Θεόδωρου Ζιάκα Γρεβενών","Theodoros Ziakas Municipal Unit","Q41","Greece","2121","['510 32<br>511 00']","(40.0333, 21.3333)"
"Q2015637","Δήμος Δεσκάτης","Deskati Municipality","Q41","Greece","7007","['512\xa000']","(39.9185, 21.7365)"
"Q2015909","Γραβιά Φωκίδας","Gravia","Q41","Greece","604","['330\xa057']","(38.67174, 22.43142)"
"Q2035747","Βαρθολομιό","Vartholomio","Q41","Greece","3603","['270\xa050']","(37.862222222222, 21.205833333333)"
"Q2072599","Θέρμη","Thermi","Q41","Greece","16004","['57001']","(40.547222222222, 23.019722222222)"
"Q2080414","Πετράδες Έβρου","Petrades, Evros","Q41","Greece","184","['68300']","(41.346666666667, 26.611666666667)"
