,id,postal_code,territory,latitude,longitude,municipality,population
55,55,14233,ΝΕΟΚΤΙΣΤΑ ΝΕΑΠΟΛΕΩΣ,38.0279319,23.7644113,Ilion,84004.0
56,56,14262,,38.018621,23.6553226,,
57,57,14262,,38.0185007,23.6538147,,
58,58,14262,,38.0192078,23.6556991,,
59,59,14342,ΝΕΑ ΦΙΛΑΔΕΛΦΕΙΑ,38.047335,23.7434311,Filadelfeia-Chalkidona,34961.0
60,60,14342,ΝΕΑ ΦΙΛΑΔΕΛΦΕΙΑ,38.0482912,23.7442939,Filadelfeia-Chalkidona,34961.0
61,61,14342,ΝΕΑ ΦΙΛΑΔΕΛΦΕΙΑ,38.0479758,23.7440746,Filadelfeia-Chalkidona,34961.0
62,62,14342,ΝΕΑ ΦΙΛΑΔΕΛΦΕΙΑ,38.0477458,23.7438295,Filadelfeia-Chalkidona,34961.0
63,63,15001,,38.0027551,23.830241,,
64,64,15001,,38.0054929,23.834432,,
65,65,15001,,38.0055078,23.8345989,,
66,66,15001,,38.0055376,23.8349307,,
67,67,15001,,38.0028502,23.8301516,,
68,68,15001,,38.0055227,23.8347653,,
69,69,15001,,38.0100094,23.8364594,,
70,70,15001,,38.0087275,23.8344098,,
71,71,15001,,38.0089765,23.8345116,,
72,72,15001,,38.0090715,23.8345504,,
73,73,15001,,38.0088622,23.8344649,,
74,74,15123,ΜΑΡΟΥΣΙ ΝΕΑ ΦΙΛΟΘΕΗ,38.0401378,23.7921846,Marousi,71830.0
75,75,15123,ΜΑΡΟΥΣΙ ΝΕΑ ΦΙΛΟΘΕΗ,38.0401296,23.7921849,Marousi,71830.0
76,76,15123,ΜΑΡΟΥΣΙ ΝΕΑ ΦΙΛΟΘΕΗ,38.0401475,23.7899686,Marousi,71830.0
77,77,15123,ΜΑΡΟΥΣΙ ΝΕΑ ΦΙΛΟΘΕΗ,38.0393181,23.7910841,Marousi,71830.0
78,78,15123,ΜΑΡΟΥΣΙ ΝΕΑ ΦΙΛΟΘΕΗ,38.0406759,23.7899798,Marousi,71830.0
79,79,15123,ΜΑΡΟΥΣΙ ΝΕΑ ΦΙΛΟΘΕΗ,38.0410822,23.78986,Marousi,71830.0
80,80,15123,ΜΑΡΟΥΣΙ ΝΕΑ ΦΙΛΟΘΕΗ,38.0408006,23.7906751,Marousi,71830.0
81,81,15123,ΜΑΡΟΥΣΙ ΝΕΑ ΦΙΛΟΘΕΗ,38.0407482,23.7903555,Marousi,71830.0
82,82,15123,ΜΑΡΟΥΣΙ ΝΕΑ ΦΙΛΟΘΕΗ,38.040998,23.7893883,Marousi,71830.0
83,83,15123,ΜΑΡΟΥΣΙ ΝΕΑ ΦΙΛΟΘΕΗ,38.040283,23.7904794,Marousi,71830.0
84,84,15123,ΜΑΡΟΥΣΙ ΝΕΑ ΦΙΛΟΘΕΗ,38.0409656,23.7891964,Marousi,71830.0
85,85,15123,ΜΑΡΟΥΣΙ ΝΕΑ ΦΙΛΟΘΕΗ,38.0414105,23.7895638,Marousi,71830.0
86,86,15123,ΜΑΡΟΥΣΙ ΝΕΑ ΦΙΛΟΘΕΗ,38.0406219,23.7896631,Marousi,71830.0
87,87,15123,ΜΑΡΟΥΣΙ ΝΕΑ ΦΙΛΟΘΕΗ,38.0403426,23.7907955,Marousi,71830.0
88,88,15123,ΜΑΡΟΥΣΙ ΝΕΑ ΦΙΛΟΘΕΗ,38.0403939,23.7911197,Marousi,71830.0
89,89,15123,ΜΑΡΟΥΣΙ ΝΕΑ ΦΙΛΟΘΕΗ,38.0414428,23.7897558,Marousi,71830.0
90,90,15123,ΜΑΡΟΥΣΙ ΝΕΑ ΦΙΛΟΘΕΗ,38.0410498,23.789668,Marousi,71830.0
91,91,15125,ΜΑΡΟΥΣΙ ΠΑΡΑΔΕΙΣΟΣ,38.038277,23.8107909,Marousi,71830.0
92,92,15125,ΜΑΡΟΥΣΙ ΠΑΡΑΔΕΙΣΟΣ,38.0345397,23.8020857,Marousi,71830.0
93,93,15126,ΜΑΡΟΥΣΙ ΝΕΑ ΛΕΣΒΟΣ,38.0416269,23.8221187,Marousi,71830.0
94,94,15126,ΜΑΡΟΥΣΙ ΝΕΑ ΛΕΣΒΟΣ,38.0455803,23.825623,Marousi,71830.0
95,95,15126,ΜΑΡΟΥΣΙ ΝΕΑ ΛΕΣΒΟΣ,38.0457128,23.8252563,Marousi,71830.0
96,96,15126,ΜΑΡΟΥΣΙ ΝΕΑ ΛΕΣΒΟΣ,38.0457965,23.8250578,Marousi,71830.0
97,97,15126,ΜΑΡΟΥΣΙ ΝΕΑ ΛΕΣΒΟΣ,38.041595,23.8225379,Marousi,71830.0
98,98,15126,ΜΑΡΟΥΣΙ ΝΕΑ ΛΕΣΒΟΣ,38.0456406,23.8254252,Marousi,71830.0
99,99,15126,ΜΑΡΟΥΣΙ ΝΕΑ ΛΕΣΒΟΣ,38.0458704,23.8248884,Marousi,71830.0
100,100,15126,ΜΑΡΟΥΣΙ ΝΕΑ ΛΕΣΒΟΣ,38.0388976,23.8202175,Marousi,71830.0
101,101,15127,ΜΕΛΙΣΣΙΑ,38.0429351,23.8415333,Penteli,35613.0
102,102,15127,ΜΕΛΙΣΣΙΑ,38.0431578,23.8418292,Penteli,35613.0
103,103,15127,ΜΕΛΙΣΣΙΑ,38.0435803,23.8423658,Penteli,35613.0
104,104,15127,ΜΕΛΙΣΣΙΑ,38.0430379,23.84167,Penteli,35613.0
105,105,15127,ΜΕΛΙΣΣΙΑ,38.0434423,23.8421812,Penteli,35613.0
106,106,15231,ΧΑΛΑΝΔΡΙ ΑΓΙΑ ΒΑΡΒΑΡΑ,38.0088703,23.7870342,Chalandri,77100.0
107,107,15234,ΧΑΛΑΝΔΡΙ,38.0279877,23.8133568,Chalandri,77100.0
108,108,15234,ΧΑΛΑΝΔΡΙ,38.0177737,23.8149952,Chalandri,77100.0
109,109,15234,ΧΑΛΑΝΔΡΙ,38.017723,23.8151961,Chalandri,77100.0
110,110,15234,ΧΑΛΑΝΔΡΙ,38.0176729,23.8153882,Chalandri,77100.0
111,111,15234,ΧΑΛΑΝΔΡΙ,38.0238535,23.8219698,Chalandri,77100.0
112,112,15234,ΧΑΛΑΝΔΡΙ,38.0151361,23.8092111,Chalandri,77100.0
113,113,15234,ΧΑΛΑΝΔΡΙ,38.0160168,23.8092174,Chalandri,77100.0
114,114,15234,ΧΑΛΑΝΔΡΙ,38.0161299,23.8089371,Chalandri,77100.0
115,115,15234,ΧΑΛΑΝΔΡΙ,38.0176984,23.8152922,Chalandri,77100.0
116,116,15236,ΠΕΝΤΕΛΗ ΝΕΑ ΠΕΝΤΕΛΗΟΡ,38.0406208,23.8587769,Penteli,35613.0
117,117,15237,ΦΙΛΟΘΕΗ,38.0161519,23.7810675,Filothei-Psychiko,27635.0
118,118,15237,ΦΙΛΟΘΕΗ,38.0159304,23.7813669,Filothei-Psychiko,27635.0
119,119,15237,ΦΙΛΟΘΕΗ,38.0172111,23.7802937,Filothei-Psychiko,27635.0
120,120,15237,ΦΙΛΟΘΕΗ,38.0180824,23.7799879,Filothei-Psychiko,27635.0
121,121,15237,ΦΙΛΟΘΕΗ,38.0160123,23.7812162,Filothei-Psychiko,27635.0
122,122,15237,ΦΙΛΟΘΕΗ,38.0181698,23.780068,Filothei-Psychiko,27635.0
123,123,15237,ΦΙΛΟΘΕΗ,38.0136152,23.7776905,Filothei-Psychiko,27635.0
124,124,15237,ΦΙΛΟΘΕΗ,38.0135947,23.7779264,Filothei-Psychiko,27635.0
125,125,15237,ΦΙΛΟΘΕΗ,38.016598,23.771467,Filothei-Psychiko,27635.0
126,126,15237,ΦΙΛΟΘΕΗ,38.0195952,23.7702033,Filothei-Psychiko,27635.0
127,127,15237,ΦΙΛΟΘΕΗ,38.0273424,23.7819105,Filothei-Psychiko,27635.0
128,128,15237,ΦΙΛΟΘΕΗ,38.0274464,23.7820146,Filothei-Psychiko,27635.0
129,129,15237,ΦΙΛΟΘΕΗ,38.0276382,23.7816745,Filothei-Psychiko,27635.0
130,130,15237,ΦΙΛΟΘΕΗ,38.0275396,23.7815788,Filothei-Psychiko,27635.0
131,131,15237,ΦΙΛΟΘΕΗ,38.0275998,23.7825073,Filothei-Psychiko,27635.0
132,132,15237,ΦΙΛΟΘΕΗ,38.0165599,23.7777442,Filothei-Psychiko,27635.0
133,133,15238,ΧΑΛΑΝΔΡΙ,38.0418033,23.8358245,Chalandri,77100.0
134,134,15238,ΧΑΛΑΝΔΡΙ,38.0367786,23.8485589,Chalandri,77100.0
135,135,15238,ΧΑΛΑΝΔΡΙ,38.0299202,23.845417,Chalandri,77100.0
136,136,15238,ΧΑΛΑΝΔΡΙ,38.0298255,23.8455913,Chalandri,77100.0
